id,countryName,continent,population,IMF_GDP,UN_GDP,IMF_GDP_per_capita,UN_GDP_per_capita
446,Macau,Asia,704150.0,4.4856E10,4.5311080521E10,63702.43,6.434861964212171E7
442,Luxembourg,Europe,654770.0,9.1773E10,5.8631324559E10,140161.1,8.954491586205843E7
499,Montenegro,Europe,626490.0,6.679E9,4.373958354E9,10661.07,6981689.019776852
740,Suriname,South America,623240.0,3.119E9,3.278445033E9,5004.52,5260325.128361465
132,Cape Verde,Africa,598680.0,2.178E9,1.638928099E9,3637.99,2737569.484532639
470,Malta,Europe,535060.0,1.8627E10,1.0998577038E10,34812.66,2.0555782600082237E7
462,Maldives,Asia,521020.0,6.109E9,4.224207488E9,11725.06,8107572.622931941
96,Brunei,Asia,452520.0,2.7708E10,1.1400266878E10,61229.9,2.5192846455405287E7
44,Bahamas,North America,412620.0,1.363E10,1.12618E10,33032.57,2.7293393437060732E7
84,Belize,North America,410830.0,2.135E9,1.7411E9,5196.86,4238005.987878198
352,Iceland,Europe,375320.0,2.9476E10,2.0269659972E10,78536.07,5.4006341180859E7
548,Vanuatu,Oceania,334510.0,1.071E9,8.3751979E8,3201.74,2503721.2340438254
258,French Polynesia,Oceania,308870.0,0.0,5.417934152E9,17541.03,1.7541147252889566E7
540,New Caledonia,Oceania,292990.0,0.0,9.445714851E9,32238.92,3.2239034953411378E7
52,Barbados,North America,282000.0,5.926E9,4.552793288E9,21014.56,1.614465704964539E7
678,Sao Tome and Principe,Africa,231860.0,5.69E8,3.42781695E8,2454.11,1478399.4436297766
882,Samoa,Oceania,225680.0,8.68E8,8.22233281E8,3846.14,3643359.0969514353
531,Curacao,North America,192080.0,0.0,3.121449966E9,16251.03,1.6250780747605164E7
662,Saint Lucia,North America,180250.0,2.277E9,1.397066906E9,12632.38,7750717.925104022
296,Kiribati,Oceania,133520.0,2.33E8,1.73655146E8,1745.12,1300592.7651288195
308,Grenada,North America,126180.0,1.275E9,1.016208148E9,10104.37,8053638.833412585
583,Micronesia,Oceania,115220.0,4.52E8,3.29895643E8,3922.79,2863180.376670717
776,Tonga,Oceania,107770.0,5.74E8,4.01460313E8,5326.01,3725158.327920572
690,Seychelles,Africa,107660.0,1.804E9,1.433826317E9,16756.46,1.3318096944083225E7
533,Aruba,North America,106280.0,3.395E9,2.667039106E9,31944.82,2.5094459032743696E7
670,Saint Vincent and the Grenadines,North America,103700.0,1.043E9,7.65318745E8,10058.05,7380122.902603664
28,Antigua and Barbuda,North America,94300.0,1.768E9,1.460157909E9,18749.07,1.5484177189819725E7
20,Andorra,Europe,80090.0,3.58E9,2.858406626E9,44700.83,3.568993165189162E7
212,Dominica,North America,73040.0,6.95E8,5.81484032E8,9515.33,7961172.398685651
136,Cayman Islands,North America,69310.0,0.0,3.844080626E9,55462.14,5.546213570913288E7
60,Bermuda,North America,64069.99999999999,0.0,6.127341E9,95636.59,9.563510223193383E7
304,Greenland,North America,56640.0,0.0,2.282927882E9,40303.8,4.0305930120056495E7
659,Saint Kitts and Nevis,North America,47760.0,1.216E9,9.0985462E8,25463.3,1.9050557370184254E7
796,Turks and Caicos Islands,North America,46060.0,0.0,9.17550492E8,19919.9,1.992076621797655E7
534,Sint Maarten,North America,44220.0,0.0,1.072067039E9,24242.84,2.424394027589326E7
584,Marshall Islands,Oceania,42000.0,2.84E8,1.83E8,6762.55,4357142.857142857
438,Liechtenstein,Europe,39580.0,0.0,6.193677543E9,156469.22,1.5648503140474987E8
492,Monaco,Europe,36300.0,0.0,6.468000877E9,178196.57,1.781818423415978E8
674,San Marino,Europe,33640.0,1.777E9,1.590761265E9,52820.88,4.728779027942925E7
92,British Virgin Islands,North America,31540.0,0.0,9.7123711E8,30795.77,3.0793820862396955E7
585,Palau,Oceania,18060.0,2.96E8,3.10248E8,16391.63,1.717873754152824E7
184,Cook Islands,Oceania,17040.0,0.0,2.90194195E8,17026.18,1.70301757629108E7
660,Anguilla,North America,15900.0,0.0,3.3752047E8,21229.04,2.122770251572327E7
520,Nauru,Oceania,12780.0,1.38E8,1.03469824E8,10798.12,8096230.359937402
798,Tuvalu,Oceania,11400.0,7.1E7,3.6697185E7,6230.26,3219051.3157894737
500,Montserrat,North America,4390.0,0.0,6.2051375E7,14147.6,1.4134709567198178E7
